koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq,kepid,Target
-0.27535573155942933,-0.5611383688361212,-0.042168542722940204,-0.2660001301166469,-0.3678308369501224,-0.07581837123868558,0.6854005584769042,-0.1519682537003705,-0.8937393926075953,-0.3022143537881399,4349442,0.5
-0.27535573155942933,-0.5611383688361212,-0.042168542722940204,-0.2660001301166469,-0.3678308369501224,-0.07581837123868558,0.6854005584769042,-0.1519682537003705,-0.8937393926075953,-0.3022143537881399,4349442,0.5
-0.18386866654182582,3.6674556276551584,-0.042247673917482485,0.03619404743593641,1.2368878238117056,0.1795894736958811,-3.8423590198027724,1.2708219440614326,-0.6992243659414992,-0.32936246989770934,10614012,0.5
-0.2848634539531644,-0.6715074121648769,-0.02873802295711523,-0.31907782540472884,-0.4029602458565028,-0.07968073897896637,-1.0677019672159194,0.045187343529026314,-0.9700197952217506,0.8082728718366314,9872283,0.5
-0.2848634539531644,-0.6715074121648769,-0.02873802295711523,-0.31907782540472884,-0.4029602458565028,-0.07968073897896637,-1.0677019672159194,0.045187343529026314,-0.9700197952217506,0.8082728718366314,9872283,0.5
-0.24775023404870417,-0.7290905186069331,-0.042674152527768405,-0.237976140147027,-0.2961266883179804,-0.0703408315342874,0.7193652869925622,-0.1681253953269747,-0.49580995897041824,-0.52715588726743,8624520,0.5
-0.27799754661358317,-0.2979769144025918,-0.04285568008079143,-0.3128789704805733,0.58638273667268,-0.06672425083202449,-1.159145467065769,0.030568977295432002,-0.1792462881216735,-0.6835807467559019,5856571,0.5
-0.27799754661358317,-0.2979769144025918,-0.04285568008079143,-0.3128789704805733,0.58638273667268,-0.06672425083202449,-1.159145467065769,0.030568977295432002,-0.1792462881216735,-0.6835807467559019,5856571,0.5
-0.2830932972768204,-0.18410815662953695,-0.04149563119781568,-0.31856125416104925,-0.30683945714969846,-0.010614581295945643,-0.18200635438452425,-0.05271724085123026,0.29114952799895116,-0.13027628509419972,7765528,0.5
-0.2830932972768204,-0.18410815662953695,-0.04149563119781568,-0.31856125416104925,-0.30683945714969846,-0.010614581295945643,-0.18200635438452425,-0.05271724085123026,0.29114952799895116,-0.13027628509419972,7765528,0.5
-0.28329907000237375,-0.628657249944432,-0.04288716955427502,-0.31907782540472884,-0.3449843751218725,-0.08101501147106335,1.0433365436034556,-0.19082233237387114,-2.4295181652392563,-0.7249493046371506,5080636,0.5
-0.28329907000237375,-0.628657249944432,-0.04288716955427502,-0.31907782540472884,-0.3449843751218725,-0.08101501147106335,1.0433365436034556,-0.19082233237387114,-2.4295181652392563,-0.7249493046371506,5080636,0.5
-0.26191787791677157,0.33248383890459215,-0.042984898061392315,-0.28692126548567193,0.30994377766947817,-0.07192089106440226,0.7716187154781893,-0.1740881499748882,-1.6260312577034868,-0.9873810936963223,5992270,0.5
-0.2746297756084088,0.0026741640293826696,-0.042783884081248856,-0.25993041800341127,0.15737290348697222,-0.06883099687217765,-0.8168855104849043,-0.0013606121095239934,-0.280953491607214,-0.6098930030299274,11570749,0.5
-0.27628490405307704,-0.16626814885249913,-0.04219306746581801,-0.2696161288224043,-0.2047714302515979,-0.07153465429037419,-0.4903015824497286,-0.03559836460399484,0.2517379866483042,-0.309970958390874,3648437,0.5
-0.25728096208877443,-0.4274492770638884,-0.04288450221063876,-0.2809806961833562,-0.041037799267992225,-0.04449808010840878,0.6200837728698682,-0.1392733567080386,-0.12585000629176477,-0.7210710023357835,9883311,0.5
-0.27978687466187313,-0.6015643386122222,-0.0417081295741708,-0.3093921145857358,-0.3648661906293834,-0.07796022971284129,0.41107005892735554,-0.13811927516328115,-0.43478563687909394,-0.1781086801443936,4851530,0.5
-0.27978687466187313,-0.6015643386122222,-0.0417081295741708,-0.3093921145857358,-0.3648661906293834,-0.07796022971284129,0.41107005892735554,-0.13811927516328115,-0.43478563687909394,-0.1781086801443936,4851530,0.5
-0.28467557450809394,-0.23361631218303908,-0.04141375856675836,-0.3194652538374886,-0.2925797100627063,-0.0802425379230072,-0.05398545459473441,-0.0652197909194359,0.9026640889557632,-0.11347030845494242,7047922,0.5
-0.28467557450809394,-0.23361631218303908,-0.04141375856675836,-0.3194652538374886,-0.2925797100627063,-0.0802425379230072,-0.05398545459473441,-0.0652197909194359,0.9026640889557632,-0.11347030845494242,7047922,0.5
-0.27026509326204434,-0.7323682999401303,-0.042415568380809086,-0.2759441265574798,-0.31537128499268713,-0.07135909212036143,0.5939570586270546,-0.13561876514964002,-0.25552669073582884,-0.3927080741533715,11773328,0.5
-0.28361603668521373,-0.2880752832918914,-0.04279166383352127,-0.31765725448460985,-0.19369863764297332,-0.07999675088498934,0.3144012162289438,-0.12350090892968686,-0.6788829252443911,-0.6163568401988726,8226050,0.5
-0.28361603668521373,-0.2880752832918914,-0.04279166383352127,-0.31765725448460985,-0.19369863764297332,-0.07999675088498934,0.3144012162289438,-0.12350090892968686,-0.6788829252443911,-0.6163568401988726,8226050,0.5
-0.2843701106484216,-0.20596003218418618,-0.04252078026868365,-0.31920696821564876,-0.29741130863175047,-0.08143636067909399,0.630534458566995,-0.14138917287342725,-0.17034690781668874,-0.4405404692035654,8218379,0.5
