kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,Target
4852528,CONFIRMED,3.072146607,1.8732,539.0,44.9,1.3,722.0,64.09,4041.0,4.697,0.567,1.0
9083503,FALSE POSITIVE,0.91839938,4.479,152.1,16.8,1.0,1558.0,1389.28,5222.0,4.556,0.795,0.0
10817600,FALSE POSITIVE,2.74703312,2.655,152.2,23.1,61.97,2917.0,17132.06,8237.0,3.753,3.134,0.0
10187017,CONFIRMED,10.31174786,3.1818,275.9,81.7,1.34,634.0,38.13,4900.0,4.602,0.741,1.0
7457296,CONFIRMED,3.97076603,1.814,349.2,23.9,1.6,958.0,198.43,5178.0,4.521,0.778,1.0
11348997,CONFIRMED,5.132486123,1.4575,908.4,35.4,1.69,584.0,27.41,3879.0,4.707,0.578,1.0
9641018,FALSE POSITIVE,2.178154348,3.4874,428.6,93.0,22.22,1392.0,886.88,5947.0,4.482,0.881,0.0
9006449,CONFIRMED,33.8845825,6.538,224.1,17.2,1.74,533.0,19.13,5607.0,4.447,0.886,1.0
7366258,CONFIRMED,51.53997972,6.3994,3644.3,155.5,5.51,450.0,9.67,5427.0,4.463,0.929,1.0
7938499,FALSE POSITIVE,7.2269859,14.241,160.3,26.2,0.79,603.0,31.23,4347.0,4.645,0.609,0.0
7673192,CONFIRMED,11.24284815,4.241,136.0,17.4,1.44,931.0,177.7,6052.0,4.285,1.202,1.0
8150320,CONFIRMED,27.9541337,3.95,942.5,25.4,1.9,400.0,6.04,4500.0,4.656,0.646,1.0
9214713,FALSE POSITIVE,809.0141881,8.3017,16311.3,212.9,14.38,216.0,0.51,6230.0,4.397,1.047,0.0
9411166,CONFIRMED,1.954525966,2.0944,392.8,43.1,2.38,1540.0,1331.18,5741.0,4.331,1.136,1.0
8460600,FALSE POSITIVE,6.352090869,3.88771,75141.7,1343.2,18.9,772.0,83.66,5089.0,4.58,0.693,0.0
8950568,CONFIRMED,12.51353325,4.301,430.8,30.0,1.88,706.0,58.69,5435.0,4.495,0.873,1.0
9964801,CONFIRMED,13.72462702,6.9758,281.8,50.1,2.13,831.0,112.82,5817.0,4.293,1.171,1.0
6541920,CONFIRMED,10.30401132,4.2246,316.1,53.8,1.84,849.0,122.98,5657.0,4.364,1.046,1.0
7869917,CONFIRMED,7.71467686,4.5871,233.9,33.3,4.65,1622.0,1636.72,6900.0,3.843,2.599,1.0
10002866,CONFIRMED,28.08185982,4.5288,1840.3,50.8,3.63,522.0,17.52,5431.0,4.563,0.843,1.0
8445775,FALSE POSITIVE,13.254134073,4.34991,44979.8,2281.0,58.51,990.0,227.51,6175.0,4.111,1.436,0.0
