koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq
1243.1,3.365,211.08,43.4,9.2075634,5.5,4.215,1.303,5678.0,972.0
243.4,2.7207,193.48,54.8,11.57890926,2.06,4.284,1.303,6156.0,951.0
185.4,2.6624,679.12,97.0,2.426304127,1.41,4.484,0.97,5678.0,1302.0
87.3,11.438,128.15,15.3,375.408923,4.48,3.667,4.528,11357.0,858.0
29090.0,3.8828,44.01,257.8,16.025018977,1069.01,4.582,0.789,5776.0,657.0
125416.0,7.3232,1714.88,877.8,1.795273026,55.26,4.456,1.012,6363.0,1642.0
99147.1,3.3873,105.76,1761.4,7.244778994,25.68,4.586,0.788,5530.0,818.0
72609.0,5.2403,445.35,180.0,2.751566365,42.98,4.497,0.861,5461.0,1171.0
242.1,1.1267,3069.59,38.2,0.571038347,1.65,4.457,0.886,5132.0,1897.0
654.8,4.39,84.05,35.7,8.6531216,22.58,4.564,0.852,5421.0,772.0
64.6,4.713,2861.14,13.0,1.23516416,0.92,4.428,1.076,6249.0,1866.0
10084.8,1.63253,3647.63,426.0,0.576078683,23.23,4.57,0.816,5693.0,1982.0
2012.2,5.5835,572.53,213.7,1.213745575,21.69,4.606,0.661,4820.0,1246.0
70.9,3.281,2458.09,9.9,3.54828691,1.69,4.01,1.987,6573.0,1795.0
541.2,3.0287,2096.5,67.1,1.096587245,168.68,4.513,0.942,5869.0,1726.0
93327.0,12.8716,109.13,201.9,38.49536985,124.34,3.823,2.345,6050.0,824.0
20083.7,3.9954,184.92,389.8,8.529991199,44.86,4.472,0.991,6185.0,940.0
52879.9,3.22884,271.46,661.4,3.053578643,35.35,4.625,0.714,5414.0,1035.0
659.1,11.347,3.77,92.9,172.7046083,2.85,4.302,1.116,5851.0,355.0
294.1,4.2713,184.38,34.6,8.0103929,1.88,4.327,1.111,5616.0,940.0
860.5,2.987,8.64,20.2,24.4004378,2.47,4.606,0.674,4583.0,437.0
1532.1,5.499,1.56,33.7,148.4601819,3.61,4.548,0.821,5159.0,285.0
857.5,23.568,41.57,176.5,49.6456235,43.41,4.129,1.493,6273.0,648.0
1336.4,11.007,0.45,13.1,386.370512,2.96,4.508,0.834,5119.0,209.0
118.5,3.474,528.14,17.7,5.79179934,1.69,4.244,1.318,6174.0,1222.0
1009.8,1.3345,66.95,26.7,1.766789509,1.4,4.81,0.444,3698.0,730.0
