,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,phys_smass,phys_sma,Target
1514,9899216,FALSE POSITIVE,1.33259003,3.962,11.9,7.4,0.69,2909.0,16962.04,8133.0,4.146,1.935,1.9111574481569207,0.02940970562577646,0.0
1515,11619964,FALSE POSITIVE,10.368552685,4.37878,153233.0,3170.1,61.14,845.0,120.48,5855.0,4.418,0.944,0.8508999873233941,0.08817911724718043,0.0
1516,10079317,FALSE POSITIVE,236.25776888,3.3549,168.4,5.3,2.69,460.0,10.61,6645.0,3.952,2.054,1.3776389310231862,0.8322044170221387,0.0
1517,11904151,CONFIRMED,45.29422297,6.83,477.1,134.8,2.26,524.0,17.75,5676.0,4.347,1.044,0.8837624112409955,0.23863521545905444,1.0
1518,3433668,CONFIRMED,15.0219784,5.068,96.9,7.4,1.77,874.0,137.91,5831.0,4.162,1.382,1.0114644301229518,0.11959942974765311,1.0
1519,2309910,FALSE POSITIVE,1.8437362,21.04,341.1,83.4,25.26,1628.0,1655.74,6032.0,4.358,1.114,1.0320599145197278,0.02973685079886958,0.0
1520,6948054,CONFIRMED,7.49018305,2.7297,1123.6,53.0,2.56,753.0,76.06,5103.0,4.562,0.787,0.823918004529998,0.07023449012566407,1.0
1521,6301035,FALSE POSITIVE,11.99097576,5.7401,2124.3,102.8,37.47,880.0,141.63,6110.0,4.352,1.072,0.9425927592582276,0.10052448690384365,0.0
1522,10346522,FALSE POSITIVE,3.989144446,20.7947,630524.0,2055.9,60.26,996.0,233.19,5538.0,4.555,0.719,0.6766939744266062,0.04321601921185694,0.0
1523,7870032,CONFIRMED,16.87725775,3.7917,818.4,43.1,2.54,642.0,40.09,5497.0,4.512,0.872,0.9015036687362301,0.12438974287087756,1.0
1524,9410930,CONFIRMED,1.855557556,2.35672,10570.1,1853.8,10.05,1436.0,1004.89,5657.0,4.441,0.947,0.9028892590428884,0.028561998854597134,1.0
1525,8878681,FALSE POSITIVE,2.496328637,2.73115,20527.0,1412.4,112.28,2317.0,6804.42,6757.0,3.842,2.615,1.7333166746911277,0.04326014387439099,0.0
1526,11614617,CONFIRMED,24.7577652,6.998,458.7,37.6,2.44,644.0,40.74,6106.0,4.487,0.966,1.0444527108229311,0.16866748489545316,1.0
1527,5899544,FALSE POSITIVE,1.739428983,2.4894,5897.4,130.0,268.65,1268.0,612.49,5415.0,4.603,0.742,0.8049007631305598,0.026329709233295695,0.0
1528,7455287,CONFIRMED,12.07134205,4.3224,759.2,31.0,1.29,395.0,5.74,3713.0,4.779,0.47,0.48431759214724834,0.08087381573188031,1.0
1529,10788461,CONFIRMED,9.2075634,3.365,1243.1,43.4,5.5,972.0,211.08,5678.0,4.215,1.303,1.0158354395147895,0.08642347944882461,1.0
1530,10554999,CONFIRMED,2.735900074,1.9359,428.9,44.5,1.56,1075.0,315.95,5299.0,4.597,0.766,0.8460422817571985,0.03620692635522104,1.0
1531,8394721,CONFIRMED,13.48457668,5.0197,653.5,80.8,3.39,929.0,176.29,6198.0,4.237,1.324,1.1033428850699416,0.1145660288719016,1.0
1532,8581232,FALSE POSITIVE,4.012537983,2.0101,19796.0,166.0,9.96,765.0,80.95,4483.0,4.629,0.63,0.6160495256348151,0.04204801147770805,0.0
1533,7031126,FALSE POSITIVE,0.566802672,3.545,31.7,14.3,1.08,2791.0,14458.31,5102.0,3.787,1.961,0.8587954126250916,0.012740270427343953,0.0
1534,9020160,CONFIRMED,17.73842886,3.0049,605.5,29.8,2.47,596.0,29.74,5105.0,4.469,0.868,0.8090474230861742,0.12403061828218442,1.0
1535,8285970,FALSE POSITIVE,0.562498925,0.6743,420.1,44.1,2.88,2129.0,4880.5,5638.0,4.437,0.933,0.8683560132881991,0.012722561292575695,0.0
1536,6606282,FALSE POSITIVE,1.053573674,1.70116,3063.0,445.3,299.87,4319.0,81969.77,5838.0,3.038,7.385,2.1708785519853864,0.026237106090087628,0.0
1537,4659405,FALSE POSITIVE,4.532402495,3.12,339.1,43.1,3.69,1160.0,426.69,5575.0,4.278,1.173,0.9517668030012527,0.05272176967578964,0.0
1538,8490993,CONFIRMED,4.093578461,2.5833,538.6,36.4,2.85,1182.0,461.07,6077.0,4.471,0.999,1.0766275901293285,0.05132765181191607,1.0
1539,10535886,FALSE POSITIVE,0.93376021,3.182,56.5,9.5,0.4,1019.0,253.97,3885.0,4.71,0.54,0.5454086836694324,0.01527537006504121,0.0
1540,6666233,FALSE POSITIVE,0.512407185,1.0579,329.2,46.1,1.03,1255.0,583.45,3862.0,4.69,0.563,0.5661758206976375,0.010367038910417683,0.0
1541,8753896,CONFIRMED,3.24417541,1.992,371.9,18.0,1.84,1047.0,283.66,5094.0,4.469,0.87,0.8127800475348876,0.040024081906077175,1.0
1542,5438099,CONFIRMED,7.24022418,2.9153,864.9,48.2,2.14,716.0,62.1,4955.0,4.61,0.721,0.7723338294241376,0.06719915988844559,1.0
1543,9597729,FALSE POSITIVE,0.87630504,1.11,170.9,25.2,22.24,1911.0,3156.02,6032.0,4.508,0.929,1.0138319104913531,0.018003336838930788,0.0
1544,4160006,FALSE POSITIVE,1.018360336,7.622,393969.0,967.4,107.0,2302.0,6627.64,6160.0,4.144,1.463,1.0874847634309805,0.020370554893465457,0.0
1545,10973664,CONFIRMED,11.67894236,1.2641,1185.1,23.1,4.17,830.0,112.07,6122.0,4.487,0.964,1.0401323319540425,0.10206872522805484,1.0
1546,6429812,CONFIRMED,94.289223,4.102,505.4,22.5,2.11,369.0,4.39,5632.0,4.537,0.904,1.026293053887177,0.40893973985410953,1.0
1547,4948863,FALSE POSITIVE,8.643550046,3.1273,67298.6,849.3,38.21,779.0,87.16,5679.0,4.605,0.747,0.8195505238456953,0.07713429123436419,0.0
1548,8950568,CONFIRMED,12.51353325,4.301,430.8,30.0,1.88,706.0,58.69,5435.0,4.495,0.873,0.8688864328069521,0.1006549463922103,1.0
1549,10271806,CONFIRMED,18.64349986,1.8491,813.4,16.1,2.14,517.0,16.91,5016.0,4.641,0.679,0.735654807030689,0.12421397792397038,1.0
1550,9873254,CONFIRMED,14.70749512,3.1506,262.0,36.3,2.04,819.0,106.22,5676.0,4.247,1.28,1.0552478303336934,0.11960190943786538,1.0
1551,9164836,FALSE POSITIVE,48.118812545,5.27958,69850.7,2145.1,45.18,490.0,13.6,6003.0,4.536,0.872,0.9527248617407976,0.2547572677063126,0.0
1552,3098810,CONFIRMED,40.80957343,3.158,436.1,39.3,3.44,623.0,35.68,6183.0,4.301,1.3,1.2325973599676885,0.24871917195098545,1.0
1553,9658118,FALSE POSITIVE,24.0612744,19.9438,440146.0,1161.1,83.77,749.0,74.37,6461.0,4.338,1.138,1.0285349474878145,0.1646441294458109,0.0
1554,10227863,FALSE POSITIVE,5.14072621,27.24,145.6,44.5,19.28,1076.0,317.19,5751.0,4.389,1.035,0.9567869169711761,0.057440146766580054,0.0
1555,7747425,CONFIRMED,5.19559398,3.748,116.0,16.0,1.18,1085.0,327.78,5616.0,4.327,1.111,0.9557903611299761,0.05782804372122534,1.0
1556,8218379,CONFIRMED,16.57099265,2.9052,644.9,40.9,2.03,614.0,33.53,5483.0,4.589,0.779,0.8590322013574601,0.12091949173592152,1.0
1557,4037164,FALSE POSITIVE,0.635445336,1.8592,2547.4,182.2,19.0,1177.0,451.42,3920.0,4.7,0.55,0.5529169549385142,0.0118722467803437,0.0
1558,1293031,FALSE POSITIVE,0.53936593,5.434,145.0,57.6,9.19,5016.0,149399.93,6341.0,3.301,5.302,2.0502837772729654,0.01647357334052016,0.0
1559,11200415,FALSE POSITIVE,4.63958598,2.768,83.4,28.1,1.52,1587.0,1496.31,6591.0,4.024,1.646,1.0442252496090128,0.055230422265292727,0.0
1560,6862603,FALSE POSITIVE,2.861159894,1.8832,1014.3,58.3,4.37,1355.0,797.1,6126.0,4.458,1.021,1.0914051852139812,0.04060855836795936,0.0
1561,6364247,FALSE POSITIVE,5.2443332,11.268,29.9,13.5,0.58,1054.0,291.25,5952.0,4.489,0.971,1.0601638428116684,0.06023450272790038,0.0
1562,11913052,FALSE POSITIVE,3.74785307,3.444,145.9,17.0,9.04,2440.0,8389.62,4929.0,3.001,7.7,2.1672847690997603,0.06110656143415938,0.0
1563,8963721,FALSE POSITIVE,1.811460943,5.065,428.5,83.9,2.83,1508.0,1224.37,5700.0,4.382,1.008,0.8930085002439961,0.028004769080450232,0.0
1564,11044770,FALSE POSITIVE,15.60865244,6.26,311.4,46.9,6.17,1419.0,958.55,8014.0,3.94,2.43,1.8756295909542366,0.1507370855246141,0.0
1565,9904006,CONFIRMED,8.48651582,5.267,110.8,21.1,1.34,1060.0,298.03,6178.0,4.269,1.267,1.0876464792468472,0.08373551289718288,1.0
1566,9899153,FALSE POSITIVE,1.33256167,3.743,59.5,13.0,0.63,1326.0,727.84,4895.0,4.502,0.828,0.7943194594839396,0.021947451297729674,0.0
1567,9787239,CONFIRMED,22.78078241,3.3002,1925.1,46.4,2.17,328.0,2.73,3731.0,4.75,0.498,0.5086197430155324,0.12553677779618044,1.0
1568,8037145,CONFIRMED,25.75274977,2.7678,738.9,36.7,2.27,501.0,14.88,4963.0,4.501,0.826,0.7886687326265577,0.15767932846057556,1.0
1569,12416661,CONFIRMED,8.05337912,5.382,38.3,14.9,1.28,1320.0,717.7,6231.0,3.976,2.062,1.4672761235603724,0.08934773106878721,1.0
1570,8879915,FALSE POSITIVE,1.721313779,3.54768,534625.0,742.8,83.69,1627.0,1658.35,5960.0,4.371,1.073,0.9865837831499977,0.027982005413688577,0.0
1571,3352751,FALSE POSITIVE,3.495457889,6.9796,114625.0,724.0,84.49,2051.0,4186.71,8529.0,4.249,1.558,1.5706138949574462,0.052394617791866986,0.0
1572,8908102,FALSE POSITIVE,5.41460536,33.787,4080.1,294.4,116.93,1737.0,2150.63,6033.0,3.676,2.943,1.4980111737058066,0.06904682378108772,0.0
1573,5642620,FALSE POSITIVE,75.8580035,5.382,1148.4,16.1,2.72,281.0,1.47,4474.0,4.67,0.614,0.6430892810622617,0.30270447716526544,0.0
1574,9959492,FALSE POSITIVE,1.33258772,5.187,70.8,16.0,1.13,1825.0,2625.26,5576.0,4.201,1.289,0.9625878227021506,0.023399404638359444,0.0
1575,11499228,CONFIRMED,19.7919389,3.787,383.7,22.8,2.58,736.0,69.48,6285.0,4.441,1.039,1.0868400248115686,0.14722274722244427,1.0
1576,4833421,CONFIRMED,56.2590881,8.114,348.8,29.7,2.22,543.0,20.49,6038.0,4.284,1.191,0.994851024587361,0.2868414822642222,1.0
1577,6677267,FALSE POSITIVE,3.125821128,2.2163,5025.4,245.2,110.58,2087.0,4481.76,6137.0,3.705,2.852,1.5039505988037243,0.0479344873599177,0.0
1578,8780959,FALSE POSITIVE,18.577903,20.11,99.8,6.6,1.36,879.0,140.97,6432.0,4.207,1.345,1.0626227197996636,0.14008285195961892,0.0
1579,11774387,FALSE POSITIVE,0.520222869,1.2216,269.5,28.9,1.52,2145.0,5038.49,5776.0,4.527,0.889,0.969924770040804,0.012530443964069816,0.0
1580,11599264,FALSE POSITIVE,8.428090255,1.881,11355.5,183.0,517.43,817.0,105.54,5761.0,4.573,0.805,0.8841506882375243,0.07778974781020263,0.0
1581,3218908,CONFIRMED,1.475323222,2.3155,154.9,27.2,5.88,2740.0,13331.51,4941.0,3.317,4.885,1.8057751187043392,0.030884470200661433,1.0
1582,3544694,FALSE POSITIVE,1.922862476,3.4594,101272.0,362.1,70.65,1827.0,2631.95,6408.0,4.246,1.303,1.0909965067199,0.031153062869515667,0.0
1583,11572193,CONFIRMED,10.6761592,4.594,151.0,14.1,1.79,1049.0,285.79,6460.0,4.267,1.434,1.3868606670770922,0.10581529649548353,1.0
1584,6359320,CONFIRMED,8.1280933,3.727,224.1,10.7,1.39,875.0,138.51,5831.0,4.517,0.921,1.0173111136399609,0.07956789430597708,1.0
1585,11512246,CONFIRMED,15.27443889,6.0765,206.7,40.3,2.17,896.0,152.62,5761.0,4.091,1.518,1.0362822793992896,0.12191683583626094,1.0
1586,11442793,CONFIRMED,91.9401253,9.195,482.9,34.4,2.62,450.0,9.71,5970.0,4.317,1.2,1.0896750841238974,0.41023232935807236,1.0
1587,5126932,FALSE POSITIVE,208.18711785,2.5404,394.7,4.2,1.99,307.0,2.1,5780.0,4.438,1.0,0.999849257871384,0.6873979405999443,0.0
1588,9851271,FALSE POSITIVE,8.48031229,7.105,351.1,37.3,2.58,952.0,193.86,5910.0,4.364,1.078,0.9798780974622323,0.08083375041490105,0.0
1589,12885212,FALSE POSITIVE,2.057499811,2.569,325.6,23.6,1.27,1037.0,273.84,4620.0,4.564,0.736,0.7239193033421747,0.02842610812739592,0.0
1590,8552719,CONFIRMED,9.10969334,5.3181,126.4,47.8,1.32,873.0,137.45,5611.0,4.388,1.073,1.0259683713776049,0.08609434860145103,1.0
1591,1432789,CONFIRMED,9.93146307,5.678,398.6,26.2,2.41,931.0,177.83,5782.0,4.28,1.22,1.0343182554571193,0.09144382136480303,1.0
1592,2437897,FALSE POSITIVE,1.65320144,1.525,132.1,6.7,0.74,1059.0,296.8,4544.0,4.609,0.661,0.6476456420785864,0.02367320983970423,0.0
1593,6186964,CONFIRMED,2.164570593,1.2862,525.1,19.8,1.27,783.0,88.91,3941.0,4.713,0.554,0.5780348966023473,0.02727888849604462,1.0
1594,9838804,FALSE POSITIVE,1.33256952,2.915,163.5,16.5,1.06,1461.0,1076.99,5547.0,4.571,0.82,0.9131922841826795,0.02299189725111981,0.0
1595,9958962,CONFIRMED,51.0674355,4.374,597.5,18.7,2.44,499.0,14.69,6004.0,4.484,0.977,1.0610202093521104,0.27474601371073637,1.0
1596,9636135,CONFIRMED,2.42150341,2.965,171.5,15.8,1.62,1532.0,1305.04,6213.0,4.387,1.195,1.269610013759172,0.03821269356321716,1.0
1597,6768616,FALSE POSITIVE,8.8249556,2.976,121.1,8.6,1.1,928.0,175.17,6078.0,4.434,0.994,0.9788300583320311,0.08297965033164854,0.0
1598,6541920,CONFIRMED,22.687155,5.4921,960.0,122.8,3.2,653.0,42.95,5657.0,4.364,1.046,0.922566961151679,0.15267929289615015,1.0
