,Unnamed: 0,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,phys_smass,phys_sma,theo_depth,phys_depth_residual,theo_duration,phys_duration_residual,theo_radius_ratio,theo_distance_ratio,phys_impact_parameter_squared,phys_thermal,phys_thermal_residual,Target
1586,1586,11442793,CONFIRMED,91.9401253,9.195,482.9,34.4,2.62,450.0,9.71,5970.0,4.317,1.2,1.0896750841238974,0.4102323293580723,399.7986920011111,83.1013079988889,0.39810441270510677,8.796895587294893,0.01999427435197164,73.51199807384364,0.11422622867212018,1.0012208765432102,-0.0012208765432102364,1.0
1587,1587,5126932,FALSE POSITIVE,208.18711785,2.5404,394.7,4.2,1.99,307.0,2.1,5780.0,4.438,1.0,0.999849257871384,0.6873979405999443,332.12948433639997,62.57051566360002,0.44831798670525763,2.092082013294742,0.018223788989506974,147.81476486093385,0.981034237992024,0.999600614789808,0.0003993852101920048,0.0
1588,1588,9851271,FALSE POSITIVE,8.48031229,7.105,351.1,37.3,2.58,952.0,193.86,5910.0,4.364,1.078,0.9798780974622324,0.080833750414901,480.4001879120613,129.3001879120613,0.16740885054841256,6.937591149451588,0.02191727449535618,16.12439982109714,-2.082836081983472,0.9979324309044408,0.002067569095559163,0.0
1589,1589,12885212,FALSE POSITIVE,2.057499811,2.569,325.6,23.6,1.27,1037.0,273.84,4620.0,4.564,0.736,0.7239193033421747,0.0284261081273959,249.71986508226018,75.88013491773984,0.07885709093975071,2.4901429090602494,0.015801980020123618,8.305182487177497,-0.8107172948008732,1.0012501226902724,-0.0012501226902723594,0.0
1590,1590,8552719,CONFIRMED,9.10969334,5.3181,126.4,47.8,1.32,873.0,137.45,5611.0,4.388,1.073,1.0259683713776049,0.086094348601451,126.92573788517447,0.5257378851744647,0.1680619398941832,5.150038060105817,0.011265742255616013,17.25379019217782,-0.7157498353063874,1.0005723356081087,-0.0005723356081086539,1.0
1591,1591,1432789,CONFIRMED,9.93146307,5.678,398.6,26.2,2.41,931.0,177.83,5782.0,4.28,1.22,1.0343182554571193,0.091443821364803,327.2771632682076,71.32283673179245,0.1961368667490111,5.481863133250989,0.018090176894600792,16.11773926977019,-0.4184482799824272,1.000845466486473,-0.0008454664864729899,1.0
1592,1592,2437897,FALSE POSITIVE,1.65320144,1.525,132.1,6.7,0.74,1059.0,296.8,4544.0,4.609,0.661,0.6476456420785864,0.0236732098397042,105.11429912135145,26.985700878648544,0.06832987461660475,1.4566701253833951,0.010252171486962162,7.701321935067626,0.15584872624337498,0.9977937468833296,0.0022062531166704424,0.0
1593,1593,6186964,CONFIRMED,2.164570593,1.2862,525.1,19.8,1.27,783.0,88.91,3941.0,4.713,0.554,0.5780348966023473,0.0272788884960446,440.7468233510145,84.35317664898554,0.0650721843247453,1.2211278156752547,0.020993244214460256,10.588306297758619,0.36415541182117017,1.000148029758863,-0.00014802975886296643,1.0
1594,1594,9838804,FALSE POSITIVE,1.33256952,2.915,163.5,16.5,1.06,1461.0,1076.99,5547.0,4.571,0.82,0.9131922841826796,0.0229918972511198,140.14748356692445,23.35251643307555,0.07035086714738337,2.8446491328526164,0.011837980346168276,6.029350730738863,-1.9568664503719073,0.999474064045947,0.0005259359540530362,0.0
1595,1595,9958962,CONFIRMED,51.0674355,4.374,597.5,18.7,2.44,499.0,14.69,6004.0,4.484,0.977,1.0610202093521104,0.2747460137107363,523.1085321351158,74.39146786488425,0.2688114415946317,4.105188558405368,0.0228707741030624,60.47089917480543,0.5866015919864027,1.0017984030038791,-0.0017984030038791232,1.0
1596,1596,9636135,CONFIRMED,2.42150341,2.965,171.5,15.8,1.62,1532.0,1305.04,6213.0,4.387,1.195,1.269610013759172,0.0382126935632171,154.13295223935154,17.36704776064846,0.11209490564819417,2.8529050943518057,0.012414599425159814,6.876213244247271,-0.18967788290697207,1.0017272400232178,-0.0017272400232177798,1.0
1597,1597,6768616,FALSE POSITIVE,8.8249556,2.976,121.1,8.6,1.1,928.0,175.17,6078.0,4.434,0.994,0.9788300583320312,0.0829796503316485,102.71027213583314,18.389727864166858,0.15648324739215203,2.819516752607848,0.01013425674067403,17.951254587485554,0.3924463673795685,0.9986850457634264,0.0013149542365735734,0.0
1598,1598,6541920,CONFIRMED,22.687155,5.4921,960.0,122.8,3.2,653.0,42.95,5657.0,4.364,1.046,0.922566961151679,0.1526792928961501,784.9425393285538,175.05746067144617,0.23007642466365966,5.2620235753363405,0.028015855936673,31.387595388971004,0.06755728294215979,0.9987830530394962,0.0012169469605037841,1.0
1599,1599,10872983,CONFIRMED,11.09432054,4.5945,1517.5,66.5,3.9,835.0,114.81,6046.0,4.486,0.972,1.0550354644220523,0.0991022788238755,1350.1995614235634,167.3004385764366,0.1610734164825985,4.433426583517401,0.03674378945089501,21.924362104502872,-0.3377203093215513,0.9986068406847094,0.001393159315290604,1.0
1600,1600,5449777,FALSE POSITIVE,7.216951388,1.89082,4284.5,312.2,41.57,1055.0,292.7,6266.0,4.38,1.056,0.9755788241718296,0.0724854417934132,129967.11870817874,125682.61870817874,0.15563506273343683,1.735184937266563,0.36049704407159133,14.760343424943994,1.5947027219638215,0.9990186725079394,0.0009813274920605908,0.0
1601,1601,6266741,CONFIRMED,16.6658994,4.1934,754.2,60.8,2.85,702.0,57.31,5674.0,4.446,1.032,1.08466074575064,0.1311931904371846,639.6340928373445,114.56590716265555,0.19406074609947235,3.9993392539005272,0.025290112685566822,27.336391556720542,0.2405673555220561,0.9977981207944475,0.0022018792055524816,1.0
1602,1602,10982872,CONFIRMED,2.024143568,2.5273,239.4,88.4,1.94,1597.0,1535.09,5794.0,4.263,1.225,1.0027824069569895,0.0313442050040504,210.34517811605156,29.05482188394845,0.1171010204131653,2.4101989795868346,0.014502779464524058,5.502128900981762,0.22054883096815892,0.9978721450978454,0.0021278549021546134,1.0
1603,1603,8806072,CONFIRMED,40.05881661,5.595,1239.4,62.6,3.43,489.0,13.57,5668.0,4.545,0.868,0.9637712768665464,0.2263171950683881,1309.6343819198748,70.23438191987475,0.22742637333066468,5.367573626669335,0.03618761794804027,56.06701267335896,0.022942889986631743,1.0034717090511827,-0.0034717090511826587,1.0
1604,1604,8781480,FALSE POSITIVE,121.0598037,3.112,1563.0,16.6,1680.99,1792.0,2437.81,3942.0,1.101,60.688,1.6948847782371002,0.5710062369275976,64346.64196062764,62783.64196062764,19.04594280980412,15.93394280980412,0.25365761589942304,2.0232409979380463,1.5716110676888662,0.9995592779132809,0.00044072208671908086,0.0
1605,1605,7108433,FALSE POSITIVE,1.51918335,5.45573,499989.0,899.3,128.17,2517.0,9460.59,7426.0,4.116,1.698,1.3734406602990028,0.0287477754143621,477857.79546030716,22131.204539692844,0.13282632951271148,5.322903670487288,0.6912486563515778,3.640626681508444,-0.0686479042384005,0.9966578255985791,0.0033421744014209276,0.0
1606,1606,3847907,CONFIRMED,3.573202801,2.88,2975.0,362.1,5.81,1210.0,507.91,5646.0,4.37,1.08,0.9971994712747724,0.0456975874156619,2427.202619753429,547.7973802465708,0.12500537466122158,2.7549946253387785,0.049264942317623066,9.098694995958,0.17943616667013595,1.0018576160339958,-0.0018576160339958125,1.0
